Nº Partido,EQUIPO 1,EQUIPO 2,EQUIPO 1,EMPATE,EQUIPO 2
EC001,Albania,Austria,0,0,0
EC002,Albania,Bélgica,0,0,0
EC003,Albania,Croacia,0,0,0
EC004,Albania,República Checa,0,0,0
EC005,Albania,Inglaterra,0,0,0
EC006,Albania,Francia,0,0,0
EC007,Albania,Alemania,0,0,0
EC008,Albania,Hungría,0,0,0
EC009,Albania,Iceland,0,0,0
EC010,Albania,Italia,0,0,0
EC011,Albania,Irlanda del Norte,0,0,0
EC012,Albania,Polonia,0,0,0
EC013,Albania,Portugal,0,0,0
EC014,Albania,Irlanda,0,0,0
EC015,Albania,Rumania,0,0,0
EC016,Albania,Rusia,0,0,0
EC017,Albania,Eslovaquia,0,0,0
EC018,Albania,España,0,0,0
EC019,Albania,Suecia,0,0,0
EC020,Albania,Suiza,0,0,0
EC021,Albania,Turquía,0,0,0
EC022,Albania,Ucrania,0,0,0
EC023,Albania,Gales,0,0,0
EC024,Austria,Bélgica,0,0,0
EC025,Austria,Croacia,0,0,0
EC026,Austria,República Checa,0,0,0
EC027,Austria,Inglaterra,0,0,0
EC028,Austria,Francia,0,0,0
EC029,Austria,Alemania,0,0,0
EC030,Austria,Hungría,0,0,0
EC031,Austria,Iceland,0,0,0
EC032,Austria,Italia,0,0,0
EC033,Austria,Irlanda del Norte,0,0,0
EC034,Austria,Polonia,0,0,0
EC035,Austria,Portugal,0,0,0
EC036,Austria,Irlanda,0,0,0
EC037,Austria,Rumania,0,0,0
EC038,Austria,Rusia,0,0,0
EC039,Austria,Eslovaquia,0,0,0
EC040,Austria,España,0,0,0
EC041,Austria,Suecia,0,0,0
EC042,Austria,Suiza,0,0,0
EC043,Austria,Turquía,0,0,0
EC044,Austria,Ucrania,0,0,0
EC045,Austria,Gales,0,0,0
EC046,Bélgica,Croacia,0,0,0
EC047,Bélgica,República Checa,0,0,0
EC048,Bélgica,Inglaterra,0,0,0
EC049,Bélgica,Francia,0,0,0
EC050,Bélgica,Alemania,0,0,0
EC051,Bélgica,Hungría,0,0,0
EC052,Bélgica,Iceland,0,0,0
EC053,Bélgica,Italia,0,0,0
EC054,Bélgica,Irlanda del Norte,0,0,0
EC055,Bélgica,Polonia,0,0,0
EC056,Bélgica,Portugal,0,0,0
EC057,Bélgica,Irlanda,0,0,0
EC058,Bélgica,Rumania,0,0,0
EC059,Bélgica,Rusia,0,0,0
EC060,Bélgica,Eslovaquia,0,0,0
EC061,Bélgica,España,0,0,0
EC062,Bélgica,Suecia,0,0,0
EC063,Bélgica,Suiza,0,0,0
EC064,Bélgica,Turquía,0,0,0
EC065,Bélgica,Ucrania,0,0,0
EC066,Bélgica,Gales,0,0,0
EC067,Croacia,República Checa,0,0,0
EC068,Croacia,Inglaterra,0,0,0
EC069,Croacia,Francia,0,0,0
EC070,Croacia,Alemania,0,0,0
EC071,Croacia,Hungría,0,0,0
EC072,Croacia,Iceland,0,0,0
EC073,Croacia,Italia,0,0,0
EC074,Croacia,Irlanda del Norte,0,0,0
EC075,Croacia,Polonia,0,0,0
EC076,Croacia,Portugal,0,0,0
EC077,Croacia,Irlanda,0,0,0
EC078,Croacia,Rumania,0,0,0
EC079,Croacia,Rusia,0,0,0
EC080,Croacia,Eslovaquia,0,0,0
EC081,Croacia,España,0,0,0
EC082,Croacia,Suecia,0,0,0
EC083,Croacia,Suiza,0,0,0
EC084,Croacia,Turquía,0,0,0
EC085,Croacia,Ucrania,0,0,0
EC086,Croacia,Gales,0,0,0
EC087,República Checa,Inglaterra,0,0,0
EC088,República Checa,Francia,0,0,0
EC089,República Checa,Alemania,0,0,0
EC090,República Checa,Hungría,0,0,0
EC091,República Checa,Iceland,0,0,0
EC092,República Checa,Italia,0,0,0
EC093,República Checa,Irlanda del Norte,0,0,0
EC094,República Checa,Polonia,0,0,0
EC095,República Checa,Portugal,0,0,0
EC096,República Checa,Irlanda,0,0,0
EC097,República Checa,Rumania,0,0,0
EC098,República Checa,Rusia,0,0,0
EC099,República Checa,Eslovaquia,0,0,0
EC100,República Checa,España,0,0,0
EC101,República Checa,Suecia,0,0,0
EC102,República Checa,Suiza,0,0,0
EC103,República Checa,Turquía,0,0,0
EC104,República Checa,Ucrania,0,0,0
EC105,República Checa,Gales,0,0,0
EC106,Inglaterra,Francia,0,0,0
EC107,Inglaterra,Alemania,0,0,0
EC108,Inglaterra,Hungría,0,0,0
EC109,Inglaterra,Iceland,0,0,0
EC110,Inglaterra,Italia,0,0,0
EC111,Inglaterra,Irlanda del Norte,0,0,0
EC112,Inglaterra,Polonia,0,0,0
EC113,Inglaterra,Portugal,0,0,0
EC114,Inglaterra,Irlanda,0,0,0
EC115,Inglaterra,Rumania,0,0,0
EC116,Inglaterra,Rusia,0,0,0
EC117,Inglaterra,Eslovaquia,0,0,0
EC118,Inglaterra,España,0,0,0
EC119,Inglaterra,Suecia,0,0,0
EC120,Inglaterra,Suiza,0,0,0
EC121,Inglaterra,Turquía,0,0,0
EC122,Inglaterra,Ucrania,0,0,0
EC123,Inglaterra,Gales,0,0,0
EC124,Francia,Alemania,0,0,0
EC125,Francia,Hungría,0,0,0
EC126,Francia,Iceland,0,0,0
EC127,Francia,Italia,0,0,0
EC128,Francia,Irlanda del Norte,0,0,0
EC129,Francia,Polonia,0,0,0
EC130,Francia,Portugal,0,0,0
EC131,Francia,Irlanda,0,0,0
EC132,Francia,Rumania,0,0,0
EC133,Francia,Rusia,0,0,0
EC134,Francia,Eslovaquia,0,0,0
EC135,Francia,España,0,0,0
EC136,Francia,Suecia,0,0,0
EC137,Francia,Suiza,0,0,0
EC138,Francia,Turquía,0,0,0
EC139,Francia,Ucrania,0,0,0
EC140,Francia,Gales,0,0,0
EC141,Alemania,Hungría,0,0,0
EC142,Alemania,Iceland,0,0,0
EC143,Alemania,Italia,0,0,0
EC144,Alemania,Irlanda del Norte,0,0,0
EC145,Alemania,Polonia,0,0,0
EC146,Alemania,Portugal,0,0,0
EC147,Alemania,Irlanda,0,0,0
EC148,Alemania,Rumania,0,0,0
EC149,Alemania,Rusia,0,0,0
EC150,Alemania,Eslovaquia,0,0,0
EC151,Alemania,España,0,0,0
EC152,Alemania,Suecia,0,0,0
EC153,Alemania,Suiza,0,0,0
EC154,Alemania,Turquía,0,0,0
EC155,Alemania,Ucrania,0,0,0
EC156,Alemania,Gales,0,0,0
EC157,Hungría,Iceland,0,0,0
EC158,Hungría,Italia,0,0,0
EC159,Hungría,Irlanda del Norte,0,0,0
EC160,Hungría,Polonia,0,0,0
EC161,Hungría,Portugal,0,0,0
EC162,Hungría,Irlanda,0,0,0
EC163,Hungría,Rumania,0,0,0
EC164,Hungría,Rusia,0,0,0
EC165,Hungría,Eslovaquia,0,0,0
EC166,Hungría,España,0,0,0
EC167,Hungría,Suecia,0,0,0
EC168,Hungría,Suiza,0,0,0
EC169,Hungría,Turquía,0,0,0
EC170,Hungría,Ucrania,0,0,0
EC171,Hungría,Gales,0,0,0
EC172,Iceland,Italia,0,0,0
EC173,Iceland,Irlanda del Norte,0,0,0
EC174,Iceland,Polonia,0,0,0
EC175,Iceland,Portugal,0,0,0
EC176,Iceland,Irlanda,0,0,0
EC177,Iceland,Rumania,0,0,0
EC178,Iceland,Rusia,0,0,0
EC179,Iceland,Eslovaquia,0,0,0
EC180,Iceland,España,0,0,0
EC181,Iceland,Suecia,0,0,0
EC182,Iceland,Suiza,0,0,0
EC183,Iceland,Turquía,0,0,0
EC184,Iceland,Ucrania,0,0,0
EC185,Iceland,Gales,0,0,0
EC186,Italia,Irlanda del Norte,0,0,0
EC187,Italia,Polonia,0,0,0
EC188,Italia,Portugal,0,0,0
EC189,Italia,Irlanda,0,0,0
EC190,Italia,Rumania,0,0,0
EC191,Italia,Rusia,0,0,0
EC192,Italia,Eslovaquia,0,0,0
EC193,Italia,España,0,0,0
EC194,Italia,Suecia,0,0,0
EC195,Italia,Suiza,0,0,0
EC196,Italia,Turquía,0,0,0
EC197,Italia,Ucrania,0,0,0
EC198,Italia,Gales,0,0,0
EC199,Irlanda del Norte,Polonia,0,0,0
EC200,Irlanda del Norte,Portugal,0,0,0
EC201,Irlanda del Norte,Irlanda,0,0,0
EC202,Irlanda del Norte,Rumania,0,0,0
EC203,Irlanda del Norte,Rusia,0,0,0
EC204,Irlanda del Norte,Eslovaquia,0,0,0
EC205,Irlanda del Norte,España,0,0,0
EC206,Irlanda del Norte,Suecia,0,0,0
EC207,Irlanda del Norte,Suiza,0,0,0
EC208,Irlanda del Norte,Turquía,0,0,0
EC209,Irlanda del Norte,Ucrania,0,0,0
EC210,Irlanda del Norte,Gales,0,0,0
EC211,Polonia,Portugal,0,0,0
EC212,Polonia,Irlanda,0,0,0
EC213,Polonia,Rumania,0,0,0
EC214,Polonia,Rusia,0,0,0
EC215,Polonia,Eslovaquia,0,0,0
EC216,Polonia,España,0,0,0
EC217,Polonia,Suecia,0,0,0
EC218,Polonia,Suiza,0,0,0
EC219,Polonia,Turquía,0,0,0
EC220,Polonia,Ucrania,0,0,0
EC221,Polonia,Gales,0,0,0
EC222,Portugal,Irlanda,0,0,0
EC223,Portugal,Rumania,0,0,0
EC224,Portugal,Rusia,0,0,0
EC225,Portugal,Eslovaquia,0,0,0
EC226,Portugal,España,0,0,0
EC227,Portugal,Suecia,0,0,0
EC228,Portugal,Suiza,0,0,0
EC229,Portugal,Turquía,0,0,0
EC230,Portugal,Ucrania,0,0,0
EC231,Portugal,Gales,0,0,0
EC232,Irlanda,Rumania,0,0,0
EC233,Irlanda,Rusia,0,0,0
EC234,Irlanda,Eslovaquia,0,0,0
EC235,Irlanda,España,0,0,0
EC236,Irlanda,Suecia,0,0,0
EC237,Irlanda,Suiza,0,0,0
EC238,Irlanda,Turquía,0,0,0
EC239,Irlanda,Ucrania,0,0,0
EC240,Irlanda,Gales,0,0,0
EC241,Rumania,Rusia,0,0,0
EC242,Rumania,Eslovaquia,0,0,0
EC243,Rumania,España,0,0,0
EC244,Rumania,Suecia,0,0,0
EC245,Rumania,Suiza,0,0,0
EC246,Rumania,Turquía,0,0,0
EC247,Rumania,Ucrania,0,0,0
EC248,Rumania,Gales,0,0,0
EC249,Rusia,Eslovaquia,0,0,0
EC250,Rusia,España,0,0,0
EC251,Rusia,Suecia,0,0,0
EC252,Rusia,Suiza,0,0,0
EC253,Rusia,Turquía,0,0,0
EC254,Rusia,Ucrania,0,0,0
EC255,Rusia,Gales,0,0,0
EC256,Eslovaquia,España,0,0,0
EC257,Eslovaquia,Suecia,0,0,0
EC258,Eslovaquia,Suiza,0,0,0
EC259,Eslovaquia,Turquía,0,0,0
EC260,Eslovaquia,Ucrania,0,0,0
EC261,Eslovaquia,Gales,0,0,0
EC262,España,Suecia,0,0,0
EC263,España,Suiza,0,0,0
EC264,España,Turquía,0,0,0
EC265,España,Ucrania,0,0,0
EC266,España,Gales,0,0,0
EC267,Suecia,Suiza,0,0,0
EC268,Suecia,Turquía,0,0,0
EC269,Suecia,Ucrania,0,0,0
EC270,Suecia,Gales,0,0,0
EC271,Suiza,Turquía,0,0,0
EC272,Suiza,Ucrania,0,0,0
EC273,Suiza,Gales,0,0,0
EC274,Turquía,Ucrania,0,0,0
EC275,Turquía,Gales,0,0,0
EC276,Ucrania,Gales,0,0,0
